"","Overall","Q1","Q2","Q3","Q4"
"number_of_analysts",9.94878833775085,6.58536585365854,7.14285714285714,6.91428571428571,8.14285714285714
"forecasted_earnings",1.72388477509561,0.808529475504171,2.78043275860647,1.72048513886907,3.80776651938469
"actual_earnings",1.33662481067777,0.868717073170732,2.3059,1.31494,3.011
"scaled_forecast",0.0159824663151221,0.0184240931916149,0.0195141695062464,0.0143944041099162,0.0113174130030766
"price",21.2133073787454,5.41198063948384,15.543287037037,21.4004091023946,32.7169642857143
"market_value",3530483.34065258,248644.946355792,708973.344246032,2278218.15212901,8032846.58571429
