"","Overall","Q1","Q2","Q3","Q4"
"number_of_analysts",9.14107883817427,8.771,9.77731529656608,9.21112255406797,8.80627705627706
"forecasted_earnings",1.93250830574377,1.76471587941209,2.02112075781713,1.8446054736781,2.11431513455865
"actual_earnings",1.33368106846473,1.4578438,1.43790624349636,1.40044016477858,1.02075227272727
"scaled_forecast",0.0159824663151221,0.00374226695774842,0.00825936981022374,0.0143299201366688,0.0390570098347086
"price",20.8113547665274,22.4073847589018,23.7163733926,18.4122292039975,18.5838634561232
"market_value",3443168.58735961,3864073.81648365,4545200.90635156,2740822.01918562,2579554.11768605
