"","year_of_analyst_forecast","month_of_analyst_forecast","permno","cusip","oftic","monthly_returns","price","shares_outstanding","volume","benchmark_returns","excess_returns","actual_annual_eps","number_of_analyst_predictions","forecast_end_period","analys","f_eps","forecast_standard_deviation","market_capitalization","exchange","t","t_minus_one","t_plus_one","average_forecasted_earnings","scaled_feps","quartile_feps","quartile_market_capitalization"
"8704",2009,9,50017,"75281A10","RRC",0.0212942250072956,49.3600006103516,157256,437477,0.03572338,-0.0144291549927044,0.56,12,2010-12-31,115364,0.59,0.368534032802038,7762156.25598145,1,NA,NA,"true",0.674166666666667,0.00746624854629256,1,2
"8705",2009,10,50017,"75281A10","RRC",0.0139789022505283,50.0499992370605,157734,534014,-0.01976199,0.0337408922505283,0.56,51,2010-12-31,552967,0.65,0.275883565453149,7894586.5796585,1,NA,NA,"true",0.771274509803922,0.00551215923393792,1,2
"8706",2009,11,50017,"75281A10","RRC",-0.0583416223526001,47.1300010681152,157878,509751,0.057364,-0.1157056223526,0.56,15,2010-12-31,80185,1.72,0.391490520429559,7440790.30863189,1,NA,NA,"true",0.990666666666667,0.00830660962353369,1,2
"8707",2009,12,50017,"75281A10","RRC",0.0585613697767258,49.8499984741211,157878,668200,0.0177706,0.0407907697767258,0.56,9,2010-12-31,78362,1.13,0.338831216694379,7870218.05909729,1,NA,NA,"true",0.875555555555556,0.00679701558808028,1,2
"8708",2010,6,50017,"75281A10","RRC",-0.105895422399044,40.1500015258789,159421,1004388,-0.05388238,-0.052013042399044,1.11,5,2011-12-31,80185,1.83,0.399992236035762,6400753.39325714,1,NA,NA,"true",1.1988,0.00996244634705543,2,2
"8709",2010,7,50017,"75281A10","RRC",-0.0754670575261116,37.1199989318848,160030,915873,0.06877783,-0.144244887526112,1.11,50,2011-12-31,566772,1.43,0.42806980955834,5940313.42906952,1,NA,NA,"true",1.24823529411765,0.0115320533910534,2,2
"8710",2010,8,50017,"75281A10","RRC",-0.0891701951622963,33.810001373291,160030,758937,-0.04744916,-0.0417210351622963,1.11,16,2011-12-31,105245,1.23,0.384123569527654,5410614.51976776,1,NA,NA,"true",1.056125,0.0113612408732731,2,2
"8711",2010,9,50017,"75281A10","RRC",0.128955915570259,38.1300010681152,160030,668817,0.0875511,0.041404815570259,1.11,14,2011-12-31,565677,1.53,0.36470571206146,6101944.07093048,1,NA,NA,"true",0.975,0.00956479679635864,2,2
"8712",2010,10,50017,"75281A10","RRC",-0.0194073338061571,37.3899993896484,160072,710208,0.03685594,-0.0562632738061571,1.11,51,2011-12-31,702,0.73,0.289168218357757,5985091.9822998,1,NA,NA,"true",0.859509803921569,0.00773383854180578,2,2
"8713",2010,11,50017,"75281A10","RRC",0.123027607798576,41.9900016784668,160072,592234,-0.002290283,0.125317890798576,1.11,10,2011-12-31,566772,1.27,0.372567196341108,6721423.54867554,1,NA,NA,"true",0.968,0.00887275973918731,2,2
"8714",2010,12,50017,"75281A10","RRC",0.0721599832177162,44.9799995422363,160072,526064,0.06530007,0.0068599132177162,1.11,11,2011-12-31,111800,0.6,0.296667652275122,7200038.48672485,1,NA,NA,"true",0.897272727272727,0.00659554591583645,2,2
"8715",2011,6,50017,"75281A10","RRC",-0.00679538957774639,55.5,160640,354568,-0.01825751,0.0114621204222536,0.92,7,2012-12-31,702,1.25,0.36229503489241,8915520,1,NA,NA,"true",1.53857142857143,0.0065278384665299,1,2
