"","month_of_analyst_forecast","monthly_returns","excess_returns","February","March","April","May","June","July","August","September","October","November","December","quartile_market_capitalization","quartile_feps","quartile_analyst_following"
"62","4",0.0813577696681023,0.0513577696681023,0,0,1,0,0,0,0,0,0,0,0,3,1,2
"63","5",0.0916791036725044,0.0616791036725044,0,0,0,1,0,0,0,0,0,0,0,3,1,2
"64","6",-0.128899067640305,-0.118899067640305,0,0,0,0,1,0,0,0,0,0,0,3,1,2
"65","7",-0.193259611725807,-0.163259611725807,0,0,0,0,0,1,0,0,0,0,0,3,1,2
"66","8",0.0489556156098843,0.0289556156098843,0,0,0,0,0,0,1,0,0,0,0,3,1,2
"67","9",-0.0323584005236626,-0.0123584005236626,0,0,0,0,0,0,0,1,0,0,0,3,1,2
"68","10",-0.0308681987226009,-0.0008681987226009,0,0,0,0,0,0,0,0,1,0,0,3,1,2
"69","11",-0.0265427753329277,-0.0365427753329277,0,0,0,0,0,0,0,0,0,1,0,3,1,2
"70","12",0.0579413622617722,0.0179413622617722,0,0,0,0,0,0,0,0,0,0,1,3,1,2
"71","2",0.00991450529545546,0.0199145052954555,1,0,0,0,0,0,0,0,0,0,0,4,3,1
"72","3",-0.163618862628937,-0.143618862628937,0,1,0,0,0,0,0,0,0,0,0,4,3,1
"73","4",-0.111162297427654,-0.161162297427654,0,0,1,0,0,0,0,0,0,0,0,4,3,1
"74","5",0.0484205596148968,0.0084205596148968,0,0,0,1,0,0,0,0,0,0,0,4,3,1
"75","6",0.129312455654144,0.189312455654144,0,0,0,0,1,0,0,0,0,0,0,4,3,1
"76","7",-0.0692308023571968,-0.0592308023571968,0,0,0,0,0,1,0,0,0,0,0,4,3,1
"77","8",-0.179929137229919,-0.189929137229919,0,0,0,0,0,0,1,0,0,0,0,4,3,1
"78","9",0.0578750967979431,0.167875096797943,0,0,0,0,0,0,0,1,0,0,0,4,3,1
"79","10",-0.381056100130081,-0.211056100130081,0,0,0,0,0,0,0,0,1,0,0,4,3,1
"80","11",0.304309546947479,0.394309546947479,0,0,0,0,0,0,0,0,0,1,0,4,3,1
"81","12",0.24813312292099,0.19813312292099,0,0,0,0,0,0,0,0,0,0,1,4,3,1
"82","2",-0.194451868534088,-0.104451868534088,1,0,0,0,0,0,0,0,0,0,0,4,1,2
"83","3",0.0735098496079445,-0.0064901503920555,0,1,0,0,0,0,0,0,0,0,0,4,1,2
"84","4",-0.102405861020088,-0.202405861020088,0,0,1,0,0,0,0,0,0,0,0,4,1,2
"85","5",0.315463960170746,0.225463960170746,0,0,0,1,0,0,0,0,0,0,0,4,1,2
"86","6",-0.118960149586201,-0.158960149586201,0,0,0,0,1,0,0,0,0,0,0,4,1,2
"87","7",0.0402385182678699,-0.0297614817321301,0,0,0,0,0,1,0,0,0,0,0,4,1,2
"88","8",-0.00573068065568805,-0.045730680655688,0,0,0,0,0,0,1,0,0,0,0,4,1,2
